is_fragment,size_class,n_records,total_n,mean_survival,se,type
FALSE,SC1,216,16479,0.01704065674036553,0.0010081972646815462,Colony
FALSE,SC2,5,158,0.6254002481103323,0.038506515787103485,Colony
FALSE,SC3,6,417,0.7514219197978516,0.021164368627220594,Colony
FALSE,SC4,5,240,0.8653545857445503,0.02203368885322996,Colony
FALSE,SC5,5,209,0.9178844223467721,0.018990379024704476,Colony
FALSE,Unknown,24,225,0.8014666666666668,0.026593052466878875,Colony
TRUE,SC1,13,333,0.9819819819819819,0.0072892551316671465,Fragment
TRUE,SC2,15,638,0.6339231974921629,0.019071905562282096,Fragment
TRUE,SC3,9,1030,0.5555631067961165,0.015482929565343934,Fragment
TRUE,SC4,2,71,0.9135756191324447,0.03334734131328914,Fragment
TRUE,Unknown,20,1029,0.7404090012061753,0.013666993008703512,Fragment
